theorem,NL,FL
zero_add,Prove that 0 + n = n for all natural numbers,theorem zero_add (n : ℕ) : 0 + n = n := by
succ_add,Prove that succ (a) + b  = succ (a + b) for all natural numbers,theorem succ_add (a b : ℕ) : succ a + b = succ (a + b)  := by
succ_add_2,Prove that succ (a) + b  = succ (a + b) for all natural numbers,theorem succ_add_2 (a b : ℕ) : succ a + b = succ (a + b)  := by
add_comm,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm (a b : ℕ) : a + b = b + a := by
add_comm_2,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm_2 (a b : ℕ) : a + b = b + a := by
add_comm_3,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm_3 (a b : ℕ) : a + b = b + a := by
add_assoc,"Prove that the addition of natural numbers is associative, i.e., a + b + c = a + (b + c).",theorem add_assoc (a b c : ℕ) : a + b + c = a + (b + c) := by
add_assoc,"Induct on c, with d = 0 as the base case and the inductive hypothesis a + b + d = a + (b + d). There are now two proof goals, prove base case: a + b + 0 = a + (b + 0), and inductive step: a + b + succ (d) = a + (b + succ (d))",induction c with d hd
add_assoc,First prove base case. Simplify LHS a + b + 0 = a + b,· rw [add_zero]
add_assoc,Reduce RHS a + (b + 0) to a + b,rw [add_zero]
add_assoc,"Prove LHS and RHS are equal, a + b = a + b, completing the base case.",rfl
add_assoc,Now prove the inductive step. Rewrite the LHS expression a + b + succ d to succ (a + b + d),· rw [add_succ]
add_assoc,Rewrite RHS a + (b + succ d) to a + succ (b + d),rw [add_succ]
add_assoc,"Use the inductive hypothesis to rewrite the left-hand side, changing succ (a + b + d) to succ (a + (b + d))",rw [hd]
add_assoc_2,"Prove that the addition of natural numbers is associative, i.e., a + b + c = a + (b + c).",theorem add_assoc_2 (a b c : ℕ) : a + b + c = a + (b + c) := by
add_assoc_2,"Induct on c, with d = 0 as the base case and the inductive hypothesis a + b + d = a + (b + d). There are now two proof goals, prove base case: a + b + 0 = a + (b + 0), and inductive step: a + b + succ (d) = a + (b + succ (d)).",induction c with d hd
add_assoc_2,First we prove the base case. Simplify the LHS and RHS both to a + b,"· rw [add_zero, add_zero]"
add_assoc_2,"Prove LHS and RHS are equal, a + b = a + b, completing the base case.",rfl
add_assoc_2,"Now prove the inductive step. Rewrite the LHS: a + b + succ (d) to succ (a + b + d) and then to succ (a + (b + d)), using the inductive hypothesis. Change the RHS: a + (b + succ d) to a + succ (b + d) to succ (a + (b + d))","· rw [add_succ, add_succ, hd, add_succ]"
add_assoc_2,"Prove LHS and RHS are equal, succ (a + (b + d)) = succ (a + (b + d)), completing the proof",rfl
add_right_comm,"Prove that the addition of natural numbers is commutative, that is a + b + c = a + c + b",theorem add_right_comm (a b c : ℕ) : a + b + c = a + c + b := by
add_right_comm,"Apply the associative property of addition to rewrite the LHS of the equation, changing a + b + c to a + (b + c)",rw [add_assoc]
add_right_comm,"Rewrite the LHS of the equation by applying the commutative property of addition to b and c, LHS is now a + (c + b)",rw [add_comm b]
add_right_comm,Rewrite the RHS using the associative property: a + c + b to a + (c + b).,rw [add_assoc]
add_right_comm,"Prove LHS and RHS are equal, a + (c + b) = a + (c + b), completing the proof",rfl
add_right_comm_2,"Prove that the addition of natural numbers is commutative, that is a + b + c = a + c + b",theorem add_right_comm_2 (a b c : ℕ) : a + b + c = a + c + b := by
add_right_comm_2,Apply the associative property of addition to rewrite the LHS: a + b + c to a + (b + c).,rw [add_assoc]
add_right_comm_2,Rewrite the LHS using the commutative property of addition for b and c: a + (b + c) to a + (c + b).,rw [add_comm b c]
add_right_comm_2,Rewrite the RHS using the associative property of addition: a + c + b to a + (c + b).,rw [add_assoc]
add_right_comm_2,"Prove LHS and RHS are equal, completing the proof.",rfl
add_right_cancel,Prove that a + n = b + n implies a = b for all natural numbers,theorem add_right_cancel (a b n : ℕ) : a + n = b + n → a = b := by
add_right_cancel,"Induct on n, with d = 0 as the base case and the inductive hypothesis a + d = b + d. There are now two proof goals, prove base case: a + 0 = b + 0 and inductive step: a + succ (d) = b + succ (d) implies a = b.",induction n with d hd
add_right_cancel,"Assume that the hypothesis 'h' is true, that is, a + 0 = b + 0. The goal now is to prove that a = b.",intro h
