Theorem Name,Natural Language,Predicted Formalization,True Tactic,Predicted Goal State,True Goal State,Is Successful
add_sq,  -- (a + b) * (a + b) = a ^ 2 + b ^ 2 + 2 * a * b,"rw [Nat.pow_two, Nat.add_mul_self_eq]",  rw [pow_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- (a + b) * (a + b) = a * a + b ^ 2 + 2 * a * b,"rw [Nat.pow_two, Nat.add_mul_self_eq]",  rw [pow_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- (a + b) * (a + b) = a * a + b * b + 2 * a * b,"rw [Nat.pow_two, Nat.pow_two, Nat.pow_two, Nat.mul_add, Nat.add_mul, Nat.add_mul, Nat.mul_comm b a, Nat.mul_assoc]",  rw [pow_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- (a + b) * (a + b) = a * a + 2 * a * b + b * b,"rw [Nat.pow_two, Nat.pow_two, Nat.pow_two, Nat.mul_add, Nat.add_mul, Nat.add_mul, Nat.mul_comm b a, Nat.mul_assoc]",  rw [add_right_comm],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- (a + b) * a + (a + b) * b = a * a + 2 * a * b + b * b,"rw [Nat.pow_two, Nat.pow_two, Nat.pow_two, Nat.mul_add, Nat.add_mul, Nat.add_mul, Nat.mul_comm b a, Nat.mul_assoc]",  rw [mul_add],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- a * a + b * a + (a + b) * b = a * a + 2 * a * b + b * b,"rw [Nat.pow_two, Nat.pow_two, Nat.pow_two, Nat.mul_add, Nat.add_mul, Nat.add_mul, Nat.mul_comm b a, Nat.mul_assoc]",  rw [add_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- a * a + b * a + (a * b + b * b) = a * a + 2 * a * b + b * b,"rw [add_mul, mul_add, mul_add, ←add_assoc, add_assoc (a * a) (a * b) (a * b), add_comm (a * b) (b * b), ←add_assoc]",  rw [add_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- a * a + b * a + (a * b + b * b) = a * a + (a + a) * b + b * b,"rw [add_mul, mul_add, mul_add]",  rw [two_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- a * a + b * a + (a * b + b * b) = a * a + (a * b + a * b) + b * b,"rw [add_mul, mul_add, mul_add]",  rw [add_mul],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
add_sq,  -- a * a + a * b + (a * b + b * b) = a * a + (a * b + a * b) + b * b,"rw [add_assoc, add_assoc, add_comm (a * b) (b * b), add_assoc]",  rw [mul_comm b a],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
