Theorem Name,Natural Language,Predicted Formalization,True Tactic,Predicted Goal State,True Goal State,Is Successful
mul_left_cancel,  -- proof by induction on b,induction b with,  induction b with d hd generalizing c,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,"  -- for the base case, a * 0 = a * c -> 0 = a * c by the definition of multiplication",rw [mul_zero] at h,  rw [mul_zero] at h,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
mul_left_cancel,  -- 0 = a * c -> a * c = 0 by the symmetry property of equality,rw [←h],  symm at h,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,"  -- a * c = 0 -> a = 0 ∨ c = 0 by the fact that if a times b is equal to 0, then either a is equal to 0 or b is equal to 0.",rw [← mul_right_inj' ha] at h,  apply mul_eq_zero at h,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,  -- either a is equal to 0 or c is equal to 0.,cases Nat.eq_zero_or_eq_zero_of_mul_eq_mul ha h,  cases h with h1 h2,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,"  -- if a is equal to 0, then we have a contradiction.","cases a with
| zero => contradiction
| succ a' => exact mul_left_cancel h",  tauto,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,"  -- if c is equal to 0, then we have that 0 = 0.","cases c with
| zero => rfl
| succ c' => 
  have : a * b = a * succ c' := h
  rw [mul_succ] at this
  have : a * b = a * c' + a := this
  rw [mul_comm a b, mul_comm a c'] at this
  have : b = c' + 1 := Nat.eq_of_mul_",  rw [h2],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,  -- 0 = 0 closes the base case.,rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
mul_left_cancel,  -- consider two subcases for c: when c is 0 and when c is a successor of another natural number e.,"cases c with
| zero =>
  -- If c is 0, then a * b = a * 0 implies b = 0, which contradicts the assumption that a ≠ 0.
  exfalso
  exact ha (Nat.eq_zero_of_mul_eq_zero h)
| succ e =>
  -- If c is a successor of e, then we can use the cancellation property of multiplication.",  cases c with e he,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,  -- a * succ d = a * 0 -> a * succ d = 0 by the definition of multiplication,"rw [mul_succ, mul_zero] at h",  rw [mul_zero] at h,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,  -- a * succ d = 0 -> a * succ d = 0 by the properties of multiplication,rw [mul_succ] at h,  apply mul_eq_zero at h,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
mul_left_cancel,  -- either a is equal to 0 or c is equal to 0.,cases Nat.eq_zero_or_eq_zero_of_mul_eq_mul ha h,  cases h with h1 h2,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
