Theorem Name,Natural Language,Predicted Formalization,True Tactic,Predicted Goal State,True Goal State,Is Successful
twoaddtwo,  -- 4 -> succ(3) on the RHS to obtain 2 + 2 = succ(3),rw [Nat.succ_eq_add_one],  rw [four_eq_succ_three],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- 3 -> succ(2) on the RHS to obtain 2 + 2 = succ(succ(2)),rw [Nat.succ_eq_add_one],  rw [three_eq_succ_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- 2 -> succ(1) on the LHS and RHS to obtain succ(1) + succ(1) = succ(succ(succ(1))),"rw [Nat.succ_eq_add_one, Nat.succ_eq_add_one]",  rw [two_eq_succ_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  --  succ(1) + succ(1) -> succ(succ(1) + 1) on the LHS to obtain succ(succ(1) + 1) = succ(succ(succ(1))),rw [Nat.succ_add],  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- 1 -> succ(0) on the LHS and RHS to obtain succ(succ(succ(0) + succ(0))) = succ(succ(succ(0))),"rw [Nat.succ_add, Nat.succ_add]",  rw [one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- succ (succ (succ 0) + succ 0) -> succ(succ(succ((0))) + 0 on the LHS to obtain succ(succ(succ(0) + 0)) = succ(succ(succ(0))),"rw [Nat.add_succ, Nat.add_zero]",  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- succ(succ(succ((0))) + 0 -> succ(succ(succ((0))) on LHS to obtain succ(succ(succ(0))) = succ(succ(succ(0))),rw [Nat.add_zero],  rw [add_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- succ(succ(succ(0))) = succ(succ(succ(0))), QED","theorem twoaddtwo_dev_1_temp : (2 : ℕ) + 2 = 4 := by
  rfl",  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Use properties of succession, replacing LHS with 2 + succ(1)","rw [Nat.add_succ, Nat.add_zero]",  nth_rewrite 2 [two_eq_succ_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- use another property of succession to rewrite LHS to succ(2 + 1),"rw [Nat.add_succ, Nat.add_one]",  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Using properties of succession, rewrite 1 to succ(0) on LHS",rw [Nat.succ_eq_add_one],  rw [one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Using properties of succession, rewrite LHS to succ(succ(2 + 0))","rw [Nat.add_succ, Nat.add_zero]",  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Using properties of addition by zero, rewrite LHS to succ(succ(2))","rw [Nat.add_succ, Nat.add_succ]",  rw [add_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Using properties of succession, rewrite 4 to succ(3) on RHS",rw [←succ_succ_eq_four],  rw [four_eq_succ_three],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Using properties of succession, rewrite to succ(3) on LHS","rw [Nat.add_succ, Nat.add_succ]",  rw [← three_eq_succ_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Prove LHS and RHS are equal, succ(3) = succ(3), completing the proof",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
twoaddtwo,"  -- Replace the second 2 in the LHS with succ 1, changing 2 + 2 to 2 + succ 1","rw [← Nat.succ_eq_add_one, Nat.succ_eq_add_one]",  nth_rewrite 2 [two_eq_succ_one],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- Rewrite LHS from 2 + succ 1 to succ (2 + 1),"rw [Nat.add_succ, Nat.add_one]",  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Rewrite 1 as succ 0, so LHS changes from succ (2 + 1) to succ (2 + succ 0)","rw [←Nat.succ_eq_add_one, Nat.succ_eq_add_one]",  rw [one_eq_succ_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,  -- Rewrite the LHS from succ (2 + succ 0) to succ (succ (2 + 0)),"rw [Nat.add_succ, Nat.add_zero]",  rw [add_succ],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Simplify 2 + 0 to 2, changing LHS from succ (succ (2 + 0)) to succ (succ (2))",rw [Nat.add_zero],  rw [add_zero],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Rewrite 4 as succ 3, changing RHS from 4 to succ 3",rw [←succ_eq_add_one],  rw [four_eq_succ_three],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Rewrite 3 to succ 2, changing RHS from succ 3 to succ (succ (2))",rw [←succ_succ_eq_succ_succ],  rw [three_eq_succ_two],error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",No
twoaddtwo,"  -- Prove LHS and RHS are equal, succ (succ 2) = succ (succ 2), completing the proof",rfl,  rfl,error,"You might need to open '/home/manooshree/PeanoFormalizer/NNG4' as a workspace in your editor
",Yes
