World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
twoaddtwo,twoaddtwo_dev_1,-- 4 -> succ(3) on the RHS to obtain 2 + 2 = succ(3),rw [four_eq_succ_three],rw [four_eq_succ_three],"⊢ 2 + 2 = succ 3
","⊢ 2 + 2 = succ 3
",Yes,No,Yes
twoaddtwo,twoaddtwo_dev_1,-- 3 -> succ(2) on the RHS to obtain 2 + 2 = succ(succ(2)),rw [three_eq_succ_two],rw [three_eq_succ_two],"⊢ 2 + 2 = succ (succ 2)
","⊢ 2 + 2 = succ (succ 2)
",Yes,No,Yes
twoaddtwo,twoaddtwo_dev_1,-- 2 -> succ(1) on the LHS and RHS to obtain succ(1) + succ(1) = succ(succ(succ(1))),nth_rewrite 2 [two_eq_succ_one],rw [two_eq_succ_one],"⊢ succ 1 + succ 1 = succ (succ (succ 1))
","⊢ 2 + succ 1 = succ (succ 2)
",No,No,Yes
twoaddtwo,twoaddtwo_dev_1,--  succ(1) + succ(1) -> succ(succ(1) + 1) on the LHS to obtain succ(succ(1) + 1) = succ(succ(succ(1))),rw [add_succ],rw [add_succ],"⊢ succ (succ 1 + 1) = succ (succ (succ 1))
","⊢ succ (2 + 1) = succ (succ 2)
",Yes,No,Yes
twoaddtwo,twoaddtwo_dev_1,-- succ(succ(succ((0))) + 0 -> succ(succ(succ((0))) on LHS to obtain succ(succ(succ(0))) = succ(succ(succ(0))),rw [add_zero],rw [add_zero],"⊢ succ (succ (succ (succ 0))) = succ (succ (succ (succ 0)))
",error,Yes,Yes,Yes
twoaddtwo,twoaddtwo_dev_1,"-- succ(succ(succ(0))) = succ(succ(succ(0))), QED",rfl,rfl,,error,Yes,Yes,Yes
twoaddtwo,twoaddtwo_dev_2,"-- Use properties of succession, replacing LHS with 2 + succ(1)",rw [add_succ],nth_rewrite 2 [two_eq_succ_one],"⊢ 2 + succ 1 = 4
",error,No,No,No
twoaddtwo,twoaddtwo_dev_2,-- use another property of succession to rewrite LHS to succ(2 + 1),rw [add_succ],rw [add_succ],"⊢ succ (2 + 1) = 4
",error,Yes,No,No
twoaddtwo,twoaddtwo_dev_2,"-- Using properties of succession, rewrite 1 to succ(0) on LHS",rw [one_eq_succ_zero],rw [one_eq_succ_zero],"⊢ succ (2 + succ 0) = 4
",error,Yes,No,No
twoaddtwo,twoaddtwo_dev_2,"-- Using properties of addition by zero, rewrite LHS to succ(succ(2))",rw [add_zero],rw [add_zero],"⊢ succ (succ 2) = 4
",error,Yes,Yes,Yes
twoaddtwo,twoaddtwo_dev_2,"-- Using properties of succession, rewrite to succ(3) on LHS",rw [succ_add],rw [← three_eq_succ_two],"⊢ succ 3 = succ 3
",error,No,Yes,Yes
twoaddtwo,twoaddtwo_dev_2,"-- Prove LHS and RHS are equal, succ(3) = succ(3), completing the proof",rfl,rfl,,error,Yes,Yes,Yes
