World Name,Theorem Name,Correct Accuracy,Proof Accuracy
addition_world_val,4 / 12 = 33.33%,0 / 2 = 0.00%
addition_world_val,7 / 18 = 38.89%,0 / 2 = 0.00%
addition_world_val,5 / 16 = 31.25%,0 / 2 = 0.00%
addition_world_val,4 / 20 = 20.00%,0 / 2 = 0.00%
addition_world_val,4 / 8 = 50.00%,1 / 2 = 50.00%
Total,24 / 74 = 32.43%,1 / 10 = 10.00%
correct_test.json,rw_intro,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,rw_backwards,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,exact,1 / 1 = 100.00%,1 / 1 = 100.00%
correct_test.json,exact_2,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_3,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_4,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,exact_6,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_test.json,exact_7,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,exact_9,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_test.json,exact_10,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,zero_ne_one,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,two_five,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_test.json,zero_add,2 / 6 = 33.33%,0 / 1 = 0.00%
correct_test.json,succ_add,3 / 8 = 37.50%,0 / 1 = 0.00%
correct_test.json,add_assoc,3 / 10 = 30.00%,0 / 1 = 0.00%
correct_test.json,add_right_comm,0 / 4 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_trans,0 / 6 = 0.00%,0 / 1 = 0.00%
correct_test.json,le_antisymm,1 / 9 = 11.11%,0 / 1 = 0.00%
correct_test.json,le_one,2 / 9 = 22.22%,0 / 1 = 0.00%
correct_test.json,le_two,6 / 16 = 37.50%,0 / 1 = 0.00%
correct_test.json,add_left_eq_zero,1 / 7 = 14.29%,0 / 1 = 0.00%
correct_test.json,zero_pow_zero,1 / 2 = 50.00%,0 / 1 = 0.00%
correct_test.json,pow_one,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_test.json,pow_add,2 / 11 = 18.18%,0 / 1 = 0.00%
correct_test.json,mul_one,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,zero_mul,2 / 7 = 28.57%,0 / 1 = 0.00%
correct_test.json,succ_mul,0 / 8 = 0.00%,0 / 1 = 0.00%
correct_test.json,one_mul,1 / 3 = 33.33%,0 / 1 = 0.00%
correct_test.json,mul_assoc,2 / 8 = 25.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_zero,1 / 5 = 20.00%,0 / 1 = 0.00%
correct_test.json,succ_ne_succ,0 / 3 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_left_ne_zero,2 / 4 = 50.00%,0 / 1 = 0.00%
correct_test.json,eq_succ_of_ne_zero,1 / 4 = 25.00%,0 / 1 = 0.00%
correct_test.json,mul_right_eq_one,1 / 14 = 7.14%,0 / 1 = 0.00%
correct_test.json,mul_eq_zero,0 / 2 = 0.00%,0 / 1 = 0.00%
correct_test.json,mul_left_cancel,4 / 19 = 21.05%,0 / 1 = 0.00%
correct_train.json,rfl_intro,1 / 2 = 50.00%,1 / 2 = 50.00%
correct_train.json,rw_intro,2 / 4 = 50.00%,0 / 2 = 0.00%
correct_train.json,two_eq_ss0:,1 / 6 = 16.67%,0 / 2 = 0.00%
correct_train.json,rw_backwards,2 / 6 = 33.33%,0 / 2 = 0.00%
correct_train.json,add_zero_intro,4 / 6 = 66.67%,1 / 2 = 50.00%
correct_train.json,succ_eq_add_one,4 / 10 = 40.00%,0 / 2 = 0.00%
correct_train.json,twoaddtwo,1 / 16 = 6.25%,0 / 2 = 0.00%
correct_train.json,exact,0 / 2 = 0.00%,0 / 2 = 0.00%
correct_train.json,exact_2,2 / 5 = 40.00%,0 / 2 = 0.00%
correct_train.json,exact_3,0 / 5 = 0.00%,0 / 2 = 0.00%
correct_train.json,exact_4,0 / 4 = 0.00%,0 / 2 = 0.00%
correct_train.json,exact_5,3 / 8 = 37.50%,0 / 2 = 0.00%
correct_train.json,exact_6,0 / 8 = 0.00%,0 / 2 = 0.00%
correct_train.json,exact_7,2 / 4 = 50.00%,0 / 2 = 0.00%
correct_train.json,exact_8,2 / 9 = 22.22%,0 / 2 = 0.00%
correct_train.json,exact_9,2 / 8 = 25.00%,0 / 2 = 0.00%
correct_train.json,exact_10,0 / 4 = 0.00%,0 / 2 = 0.00%
correct_train.json,zero_ne_one,1 / 7 = 14.29%,0 / 2 = 0.00%
correct_train.json,one_ne_zero,1 / 9 = 11.11%,0 / 2 = 0.00%
correct_train.json,two_five,2 / 11 = 18.18%,0 / 2 = 0.00%
