theorem,NL,FL,filename
zero_add,Prove that 0 + n = n for all natural numbers,theorem zero_add (n : ℕ) : 0 + n = n := by,AdditionClean.lean
succ_add,Prove that succ (a) + b  = succ (a + b) for all natural numbers,theorem succ_add (a b : ℕ) : succ a + b = succ (a + b)  := by,AdditionClean.lean
succ_add_2,Prove that succ (a) + b  = succ (a + b) for all natural numbers,theorem succ_add_2 (a b : ℕ) : succ a + b = succ (a + b)  := by,AdditionClean.lean
add_comm,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm (a b : ℕ) : a + b = b + a := by,AdditionClean.lean
add_comm_2,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm_2 (a b : ℕ) : a + b = b + a := by,AdditionClean.lean
add_comm_3,"Prove that addition is commutative, that is a + b  = b + a for all natural numbers",theorem add_comm_3 (a b : ℕ) : a + b = b + a := by,AdditionClean.lean
add_right_comm,"Prove that the addition of natural numbers is commutative, that is a + b + c = a + c + b",theorem add_right_comm (a b c : ℕ) : a + b + c = a + c + b := by,AdditionClean.lean
add_right_comm,"Apply the associative property of addition to rewrite the LHS of the equation, changing a + b + c to a + (b + c)",rw [add_assoc],AdditionClean.lean
add_right_comm,"Rewrite the LHS of the equation by applying the commutative property of addition to b and c, LHS is now a + (c + b)",rw [add_comm b],AdditionClean.lean
add_right_comm,Rewrite the RHS using the associative property: a + c + b to a + (c + b).,rw [add_assoc],AdditionClean.lean
add_right_comm,"Prove LHS and RHS are equal, a + (c + b) = a + (c + b), completing the proof",rfl,AdditionClean.lean
add_right_comm_2,"Prove that the addition of natural numbers is commutative, that is a + b + c = a + c + b",theorem add_right_comm_2 (a b c : ℕ) : a + b + c = a + c + b := by,AdditionClean.lean
add_right_comm_2,Apply the associative property of addition to rewrite the LHS: a + b + c to a + (b + c).,rw [add_assoc],AdditionClean.lean
add_right_comm_2,Rewrite the LHS using the commutative property of addition for b and c: a + (b + c) to a + (c + b).,rw [add_comm b c],AdditionClean.lean
add_right_comm_2,Rewrite the RHS using the associative property of addition: a + c + b to a + (c + b).,rw [add_assoc],AdditionClean.lean
add_right_comm_2,"Prove LHS and RHS are equal, completing the proof.",rfl,AdditionClean.lean
add_right_cancel,Prove that a + n = b + n implies a = b for all natural numbers,theorem add_right_cancel (a b n : ℕ) : a + n = b + n → a = b := by,AdvAdditionClean.lean
add_right_cancel,"Induct on n, with d = 0 as the base case and the inductive hypothesis a + d = b + d. There are now two proof goals, prove base case: a + 0 = b + 0 and inductive step: a + succ (d) = b + succ (d) implies a = b.",induction n with d hd,AdvAdditionClean.lean
add_right_cancel,"Assume that the hypothesis 'h' is true, that is, a + 0 = b + 0. The goal now is to prove that a = b.",intro h,AdvAdditionClean.lean
add_right_cancel,"Repeatedly apply the rewrite rule add_zero to the hypothesis h, which simplifies any terms of the form x + 0 in h to x. In this case",repeat rw [add_zero] at h,AdvAdditionClean.lean
add_right_cancel,"Apply the hypothesis 'h' to the goal, changing it to: if 'a + succ d' equals 'b + succ d', then 'a' equals 'b'",exact h,AdvAdditionClean.lean
add_right_cancel,Introduce a hypothesis h: a + succ d = b + succ d. Now the goal is to prove a = b given this hypothesis.,intro h,AdvAdditionClean.lean
add_right_cancel,"For any natural numbers x and y, x + succ y = succ (x + y). Applying this repeatedly simplifies the hypothesis but leaves the goal state a = b unchanged.",repeat rw [add_succ] at h,AdvAdditionClean.lean
add_right_cancel,"If succ a = succ b, then a = b which simplifies the hypotheses.",apply succ_inj at h,AdvAdditionClean.lean
add_right_cancel,Apply the inductive hypothesis 'hd' at the hypothesis 'h'. This simplifies the hypothesis to a = b.,apply hd at h,AdvAdditionClean.lean
add_right_cancel,h proves the goal a = b so we can use it to finish the proof,exact h,AdvAdditionClean.lean
add_left_cancel,Prove that a + n = b + n implies a = b for all natural numbers,theorem add_left_cancel (a b n : ℕ) : n + a = n + b → a = b := by,AdvAdditionClean.lean
add_left_cancel,"Rewrite the goal by repeatedly swapping the addition operands in the left side of both equations, changing n + a = n + b to a + n = b + n.",repeat rw [add_comm n],AdvAdditionClean.lean
add_left_cancel,"Assume that the statement 'a + n = b + n' is true and denote it as 'h'. Then, our new goal is to prove that 'a = b'.",intro h,AdvAdditionClean.lean
add_left_cancel,"Simplify the hypothesis 'h' using the theorem 'add_right_cancel' assuming the theorem is true, which leaves the goal state unchanged as 'a = b'",apply add_right_cancel at h,AdvAdditionClean.lean
add_left_cancel,h proves the goal a = b so we can use it to finish the proof,exact h,AdvAdditionClean.lean
