World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
exact_2,exact_2_dev_1,-- We simplify the hypothesis of 0 + x = 0 + y + 2 to x = 0 + x + 2.,rw [zero_add] at h,rw [zero_add] at h,"y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
","y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
",Yes,No,Yes
exact_2,exact_2_dev_2,-- 0 + x = 0 + y + 2 -> x = 0 + y + 2,rw [zero_add] at h,rw [zero_add] at h,"y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
","y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
",Yes,No,Yes
exact_2,exact_2_dev_1,-- We simplify the hypothesis of 0 + x = 0 + y + 2 to x = 0 + x + 2.,rw [zero_add] at h,rw [zero_add] at h,"y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
","y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
",Yes,No,Yes
exact_2,exact_2_dev_2,-- 0 + x = 0 + y + 2 -> x = 0 + y + 2,"rw [zero_add] at h, rw [zero_add] at h, exact h",rw [zero_add] at h,"y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
","y x : ℕ
h : x = 0 + y + 2
⊢ x = y + 2
",No,No,Yes
World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
zero_mul,zero_mul_dev_1,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,induction m with d hd,induction m with d hd,"case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes,No,Yes
zero_mul,zero_mul_dev_1,-- First prove base case. Simplify LHS 0 * 0 to 0,rw [mul_zero],rw [mul_zero],"case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes,No,Yes
zero_mul,zero_mul_dev_1,-- Simplify the LHS 0 * d + 0 to 0 + 0 using the definition of addition,rw [add_zero],rw [add_zero],"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d = 0
",error,Yes,Yes,Yes
zero_mul,zero_mul_dev_1,-- This is exactly the inductive hypothesis so we can complete the proof.,rfl,exact hd,,error,No,Yes,Yes
zero_mul,zero_mul_dev_2,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,induction m with d hd,induction m with d hd,"case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes,No,Yes
zero_mul,zero_mul_dev_2,-- That proves the base case.,rfl,rfl,"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",error,Yes,Yes,Yes
zero_mul,zero_mul_dev_2,-- This is exactly the inductive hypothesis so we can complete the proof.,rfl,exact hd,,error,No,Yes,Yes
World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
mul_left_ne_zero,mul_left_ne_zero__dev_1,-- Assume that b equals 0.,intro hd,intro hb,"a b : ℕ
h : a * b ≠ 0
hb : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",No,No,Yes
mul_left_ne_zero,mul_left_ne_zero__dev_1,-- We use reflexivity to prove the goal of 0 = 0.,rfl,rfl,,error,Yes,Yes,Yes
mul_left_ne_zero,mul_left_ne_zero__dev_2,-- Assume that b equals 0.,intro hd,intro hd,"a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
","a b : ℕ
h : a * b ≠ 0
hd : b = 0
⊢ False
",Yes,No,Yes
mul_left_ne_zero,mul_left_ne_zero__dev_2,-- We have 0 != 0 which is a contradiction.,exact zero_ne_zero.refl,tauto,,error,No,Yes,Yes
add_left_comm,add_left_comm_dev_1,"-- By associativity of addition, can change a + (b + c) into (a + b) + c",rw [add_assoc],rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
",error,No,No,No
add_left_comm,add_left_comm_dev_1,"-- So we just need to show b + (a + c) = b + (a + c), which is true by reflexivity.",rfl,rfl,,error,Yes,Yes,Yes
add_left_comm,add_left_comm_dev_2,-- a + (b + c) = b + (a + c) -> (a + b) + c = b + (a + c),rw [add_assoc],rw [← add_assoc],"a b c : ℕ
⊢ a + b + c = b + (a + c)
",error,No,No,No
add_left_comm,add_left_comm_dev_2,-- lhs = rhs,"rw [← add_assoc, add_comm a b, add_assoc]",rfl,,error,No,Yes,Yes
World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
le_two,le_two_dev_1,-- Either x = 0 or x = succ y for some natural number y.,cases x with y,cases x with y,"case zero
hx : 0 ≤ 2
⊢ 0 = 0 ∨ 0 = 1 ∨ 0 = 2
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
","case zero
hx : 0 ≤ 2
⊢ 0 = 0 ∨ 0 = 1 ∨ 0 = 2
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",Yes,No,Yes
le_two,le_two_dev_1,"-- In the former case, we need to show 0 = 0 ∨ 0 = 1 ∨ 0 = 2, and we choose to show 0 = 0.","left, rfl",left,"case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",No,No,Yes
le_two,le_two_dev_1,-- This is clear by reflexivity.,rfl,rfl,"case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",Yes,No,Yes
le_two,le_two_dev_1,"-- In the latter case, either y = 0 or y = succ z for some natural number z.",cases y with z,cases y with z,"case succ.zero
hx : succ 0 ≤ 2
⊢ succ 0 = 0 ∨ succ 0 = 1 ∨ succ 0 = 2
case succ.succ
z : ℕ
hx : succ (succ z) ≤ 2
⊢ succ (succ z) = 0 ∨ succ (succ z) = 1 ∨ succ (succ z) = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",Yes,No,Yes
le_two,le_two_dev_1,"-- In the former case, we must show succ 0 = 0 ∨ succ 0 = 1 ∨ succ 0 = 2, and we choose to prove succ 0 = 1 ∨ succ 0 = _dev_2",right,right,"case succ.zero.h
hx : succ 0 ≤ 2
⊢ succ 0 = 1 ∨ succ 0 = 2
case succ.succ
z : ℕ
hx : succ (succ z) ≤ 2
⊢ succ (succ z) = 0 ∨ succ (succ z) = 1 ∨ succ (succ z) = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",Yes,No,Yes
le_two,le_two_dev_1,"-- To prove succ 0 = 1 ∨ succ 0 = 2, we choose to prove succ 0 = _dev_1",left,left,"case succ.zero.h.h
hx : succ 0 ≤ 2
⊢ succ 0 = 1
case succ.succ
z : ℕ
hx : succ (succ z) ≤ 2
⊢ succ (succ z) = 0 ∨ succ (succ z) = 1 ∨ succ (succ z) = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",Yes,No,Yes
le_two,le_two_dev_1,"-- Rewriting using a theorem, need to show show succ 0 = succ 0.",rfl,rw [one_eq_succ_zero],"case succ.zero.h.h
hx : succ 0 ≤ 2
⊢ succ 0 = succ 0
case succ.succ
z : ℕ
hx : succ (succ z) ≤ 2
⊢ succ (succ z) = 0 ∨ succ (succ z) = 1 ∨ succ (succ z) = 2
","case zero.h
hx : 0 ≤ 2
⊢ 0 = 0
case succ
y : ℕ
hx : succ y ≤ 2
⊢ succ y = 0 ∨ succ y = 1 ∨ succ y = 2
",No,No,Yes
