World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
exact_2,exact_2_dev_1,-- We simplify the hypothesis of 0 + x = 0 + y + 2 to x = 0 + x + 2.,rw [zero_add] at h,rw [zero_add] at h,"y x : ℕ[Br]h : x = 0 + y + 2[Br]⊢ x = y + 2[Br]","y x : ℕ[Br]h : x = 0 + y + 2[Br]⊢ x = y + 2[Br]",Yes,No,Yes
exact_2,exact_2_dev_1,"-- So, x = y + 2, which is exactly what we wanted to prove.",exact h,exact h,,error,Yes,Yes,Yes
exact_2,exact_2_dev_2,-- 0 + x = 0 + y + 2 -> x = 0 + y + 2,rw [zero_add] at h,rw [zero_add] at h,"y x : ℕ[Br]h : x = 0 + y + 2[Br]⊢ x = y + 2[Br]","y x : ℕ[Br]h : x = 0 + y + 2[Br]⊢ x = y + 2[Br]",Yes,No,Yes
exact_2,exact_2_dev_2,-- x = y + 2,exact h,exact h,,error,Yes,Yes,Yes
World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
zero_mul,zero_mul_train2,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,induction m with d hd,induction m with d hd,"case zero[Br]⊢ 0 * 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]","case zero[Br]⊢ 0 * 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",Yes,No,Yes
zero_mul,zero_mul_train2,-- First prove base case. Simplify LHS 0 * 0 to 0,rw [mul_zero],rw [mul_zero],"case zero[Br]⊢ 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]","case zero[Br]⊢ 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",Yes,No,Yes
zero_mul,zero_mul_train2,-- The base case is not complete.,rfl,rfl,"case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]","case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",Yes,No,Yes
zero_mul,zero_mul_train2,-- Simplify the LHS 0 * d + 0 to 0 + 0 using the definition of addition,rw [mul_succ],rw [add_zero],"case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * d = 0[Br]","case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * d + 0 = 0[Br]",No,Yes,No
zero_mul,zero_mul_train2,-- This is exactly the inductive hypothesis so we can complete the proof.,rw [hd],exact hd,,"case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 + 0 = 0[Br]",No,Yes,No
zero_mul,zero_mul_test,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,rw [add_zero],induction m with d hd,"case zero[Br]⊢ 0 * 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",error,No,No,No
zero_mul,zero_mul_test,-- 0 * 0 = 0 -> 0 = 0,rw [mul_zero],rw [mul_zero],"case zero[Br]⊢ 0 = 0[Br]case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",error,Yes,No,No
zero_mul,zero_mul_test,-- That proves the base case.,rfl,rfl,"case succ[Br]d : ℕ[Br]hd : 0 * d = 0[Br]⊢ 0 * succ d = 0[Br]",error,Yes,No,No
zero_mul,zero_mul_test,-- This is exactly the inductive hypothesis so we can complete the proof.,rfl,exact hd,,error,No,Yes,Yes
World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Tactics Match,Is Incorrect Tactic,Correctly Identified As Wrong
mul_left_ne_zero,mul_left_ne_zero_train1,-- Assume that b equals 0.,intro hd,intro hb,"a b : ℕ[Br]h : a * b ≠ 0[Br]hb : b = 0[Br]⊢ False[Br]","a b : ℕ[Br]h : a * b ≠ 0[Br]hd : b = 0[Br]⊢ False[Br]",No,No,Yes
mul_left_ne_zero,mul_left_ne_zero_train1,-- a * b = 0 -> a * 0 = 0 -> 0 = 0,"rw [hd, mul_zero] at h","rw [hb, mul_zero]","a b : ℕ[Br]h : a * b ≠ 0[Br]hb : b = 0[Br]⊢ 0 = 0[Br]","a b : ℕ[Br]h : 0 ≠ 0[Br]hd : b = 0[Br]⊢ False[Br]",No,Yes,No
mul_left_ne_zero,mul_left_ne_zero_train1,-- We use reflexivity to prove the goal of 0 = 0.,rfl,rfl,,error,Yes,Yes,Yes
